Age,CO2,Proxy
200.7,3019,PALEOSOLS (d13C)
200.7,2811,PALEOSOLS (d13C)
200.7,3455,PALEOSOLS (d13C)
200.7,2988,PALEOSOLS (d13C)
200.6,3072,PALEOSOLS (d13C)
200.6,2317,PALEOSOLS (d13C)
200.6,3280,PALEOSOLS (d13C)
200.6,2204,PALEOSOLS (d13C)
200.6,2545,PALEOSOLS (d13C)
200.5,4496,PALEOSOLS (d13C)
200.5,4125,PALEOSOLS (d13C)
200.5,5092,PALEOSOLS (d13C)
200.4,2882,PALEOSOLS (d13C)
200.4,3003,PALEOSOLS (d13C)
200.4,1496,PALEOSOLS (d13C)
200.4,2117,PALEOSOLS (d13C)
200.3,2649,PALEOSOLS (d13C)
200.3,2716,PALEOSOLS (d13C)
200.2,1528,PALEOSOLS (d13C)
200.2,915,PALEOSOLS (d13C)
199.8,785,PALEOSOLS (d13C)
199.0,1768,PALEOSOLS (d13C)
127.9,530,PALEOSOLS (d13C)
137.9,241,PALEOSOLS (d13C)
143.5,345,PALEOSOLS (d13C)
83.0,1522,PALEOSOLS (d13C)
98.0,1520,PALEOSOLS (d13C)
100.5,1368,PALEOSOLS (d13C)
102.0,1428,PALEOSOLS (d13C)
103.5,1060,PALEOSOLS (d13C)
113.5,449,PALEOSOLS (d13C)
157.8,1673,PALEOSOLS (d13C)
5.5,222,PALEOSOLS (d13C)
50.5,684,PALEOSOLS (d13C)
50.7,397,PALEOSOLS (d13C)
50.9,178,PALEOSOLS (d13C)
51.1,1285,PALEOSOLS (d13C)
51.2,1354,PALEOSOLS (d13C)
51.4,971,PALEOSOLS (d13C)
51.5,1709,PALEOSOLS (d13C)
51.5,1299,PALEOSOLS (d13C)
51.8,903,PALEOSOLS (d13C)
52.0,301,PALEOSOLS (d13C)
63.6,399,PALEOSOLS (d13C)
63.7,341,PALEOSOLS (d13C)
64.6,326,PALEOSOLS (d13C)
64.7,456,PALEOSOLS (d13C)
64.9,286,PALEOSOLS (d13C)
65.0,584,PALEOSOLS (d13C)
65.1,451,PALEOSOLS (d13C)
65.2,569,PALEOSOLS (d13C)
65.4,470,PALEOSOLS (d13C)
66.5,837,PALEOSOLS (d13C)
68.3,277,PALEOSOLS (d13C)
52.8,400,PALEOSOLS (d13C)
52.6,750,PALEOSOLS (d13C)
51.9,1260,PALEOSOLS (d13C)
51.8,1210,PALEOSOLS (d13C)
